"streams","stndErr","site","dp.name","term.name","location"
"NEON.D10.STER.DP0.00001.001.01306.000.010.000",13.022,"STER","2D Wind Speed and Direction","uVectorComponent","Meas. Level 1"
"NEON.D10.STER.DP0.00001.001.01306.000.020.000",NA,"STER","2D Wind Speed and Direction","uVectorComponent","Meas. Level 2"
"NEON.D10.STER.DP0.00001.001.01306.000.030.000",0.793,"STER","2D Wind Speed and Direction","uVectorComponent","Meas. Level 3"
"NEON.D10.STER.DP0.00001.001.01307.000.010.000",3.036,"STER","2D Wind Speed and Direction","vVectorComponent","Meas. Level 1"
"NEON.D10.STER.DP0.00001.001.01307.000.020.000",NA,"STER","2D Wind Speed and Direction","vVectorComponent","Meas. Level 2"
"NEON.D10.STER.DP0.00001.001.01307.000.030.000",0.663,"STER","2D Wind Speed and Direction","vVectorComponent","Meas. Level 3"
"NEON.D10.STER.DP0.00001.001.01308.000.010.000",0.009,"STER","2D Wind Speed and Direction","soundSpeed","Meas. Level 1"
"NEON.D10.STER.DP0.00001.001.01308.000.020.000",NA,"STER","2D Wind Speed and Direction","soundSpeed","Meas. Level 2"
"NEON.D10.STER.DP0.00001.001.01308.000.030.000",0.008,"STER","2D Wind Speed and Direction","soundSpeed","Meas. Level 3"
"NEON.D10.STER.DP0.00001.001.01309.000.010.000",0.261,"STER","2D Wind Speed and Direction","sensorTemp","Meas. Level 1"
"NEON.D10.STER.DP0.00001.001.01309.000.020.000",NA,"STER","2D Wind Speed and Direction","sensorTemp","Meas. Level 2"
"NEON.D10.STER.DP0.00001.001.01309.000.030.000",0.249,"STER","2D Wind Speed and Direction","sensorTemp","Meas. Level 3"
"NEON.D10.STER.DP0.00001.001.01310.000.010.000",0.036,"STER","2D Wind Speed and Direction","2dWindSensorStatus","Meas. Level 1"
"NEON.D10.STER.DP0.00001.001.01310.000.020.000",0,"STER","2D Wind Speed and Direction","2dWindSensorStatus","Meas. Level 2"
"NEON.D10.STER.DP0.00001.001.01310.000.030.000",0.005,"STER","2D Wind Speed and Direction","2dWindSensorStatus","Meas. Level 3"
"NEON.D10.STER.DP0.00002.001.01325.000.010.000",0.026,"STER","Single Aspirated Air Temperature","PRTResistance","Meas. Level 1"
"NEON.D10.STER.DP0.00002.001.01325.000.020.000",0.022,"STER","Single Aspirated Air Temperature","PRTResistance","Meas. Level 2"
"NEON.D10.STER.DP0.00002.001.01325.000.030.000",0.02,"STER","Single Aspirated Air Temperature","PRTResistance","Meas. Level 3"
"NEON.D10.STER.DP0.00002.001.01326.000.010.000",0.003,"STER","Single Aspirated Air Temperature","fanSpeed","Meas. Level 1"
"NEON.D10.STER.DP0.00002.001.01326.000.020.000",0.008,"STER","Single Aspirated Air Temperature","fanSpeed","Meas. Level 2"
"NEON.D10.STER.DP0.00002.001.01326.000.030.000",0.007,"STER","Single Aspirated Air Temperature","fanSpeed","Meas. Level 3"
"NEON.D10.STER.DP0.00002.001.01330.000.010.000",0.025,"STER","Single Aspirated Air Temperature","turbineSpeed","Meas. Level 1"
"NEON.D10.STER.DP0.00002.001.01330.000.020.000",0.117,"STER","Single Aspirated Air Temperature","turbineSpeed","Meas. Level 2"
"NEON.D10.STER.DP0.00002.001.01330.000.030.000",0.152,"STER","Single Aspirated Air Temperature","turbineSpeed","Meas. Level 3"
"NEON.D10.STER.DP0.00003.001.01325.000.040.101",0.019,"STER","Triple Aspirated Air Temperature","PRTResistance","Tower Top"
"NEON.D10.STER.DP0.00003.001.01325.000.040.102",0.019,"STER","Triple Aspirated Air Temperature","PRTResistance","Tower Top"
"NEON.D10.STER.DP0.00003.001.01325.000.040.103",0.019,"STER","Triple Aspirated Air Temperature","PRTResistance","Tower Top"
"NEON.D10.STER.DP0.00003.001.01326.000.040.000",0.007,"STER","Triple Aspirated Air Temperature","fanSpeed","Tower Top"
"NEON.D10.STER.DP0.00003.001.01330.000.040.000",0.109,"STER","Triple Aspirated Air Temperature","turbineSpeed","Tower Top"
"NEON.D10.STER.DP0.00004.001.01309.000.030.000",0.257,"STER","Barometric Pressure","sensorTemp","Meas. Level 3"
"NEON.D10.STER.DP0.00004.001.01311.000.030.000",0.002,"STER","Barometric Pressure","rawBarometricPressure","Meas. Level 3"
"NEON.D10.STER.DP0.00004.001.01312.000.030.000",0,"STER","Barometric Pressure","sensorStatus","Meas. Level 3"
"NEON.D10.STER.DP0.00005.001.01313.000.010.000",3.252,"STER","IR Biological Temperature","infraredThermopileOutput","Meas. Level 1"
"NEON.D10.STER.DP0.00005.001.01313.000.020.000",-11.125,"STER","IR Biological Temperature","infraredThermopileOutput","Meas. Level 2"
"NEON.D10.STER.DP0.00005.001.01313.003.000.000",1.039,"STER","IR Biological Temperature","infraredThermopileOutput","Soil Plot 3"
"NEON.D10.STER.DP0.00005.001.01314.000.010.000",0.019,"STER","IR Biological Temperature","sensorResistance","Meas. Level 1"
"NEON.D10.STER.DP0.00005.001.01314.000.020.000",0.015,"STER","IR Biological Temperature","sensorResistance","Meas. Level 2"
"NEON.D10.STER.DP0.00005.001.01314.003.000.000",0.025,"STER","IR Biological Temperature","sensorResistance","Soil Plot 3"
"NEON.D10.STER.DP0.00013.001.01818.000.040.000",0.197,"STER","Wet deposition","chamberTemperature","Tower Top"
"NEON.D10.STER.DP0.00014.001.01332.000.040.000",1.264,"STER","Shortwave Radiation (Direct and Diffuse Pyranometer)","rawShortwaveRadiationGlobal","Tower Top"
"NEON.D10.STER.DP0.00014.001.01333.000.040.000",1.257,"STER","Shortwave Radiation (Direct and Diffuse Pyranometer)","rawShortwaveRadiationDiffuse","Tower Top"
"NEON.D10.STER.DP0.00014.001.01334.000.040.000",1.156,"STER","Shortwave Radiation (Direct and Diffuse Pyranometer)","sunPresence","Tower Top"
"NEON.D10.STER.DP0.00017.001.01939.000.040.000",0.563,"STER","Dust and Particulate Size Distribution","particulateMass1.0","Tower Top"
"NEON.D10.STER.DP0.00017.001.01940.000.040.000",0.547,"STER","Dust and Particulate Size Distribution","particulateMass2.5","Tower Top"
"NEON.D10.STER.DP0.00017.001.01941.000.040.000",0.527,"STER","Dust and Particulate Size Distribution","particulateMass4.0","Tower Top"
"NEON.D10.STER.DP0.00017.001.01942.000.040.000",0.696,"STER","Dust and Particulate Size Distribution","particulateMass10","Tower Top"
"NEON.D10.STER.DP0.00017.001.01943.000.040.000",1.085,"STER","Dust and Particulate Size Distribution","particulateMass15","Tower Top"
"NEON.D10.STER.DP0.00017.001.01944.000.040.000",0.002,"STER","Dust and Particulate Size Distribution","pressureFM","Tower Top"
"NEON.D10.STER.DP0.00017.001.01945.000.040.000",0.013,"STER","Dust and Particulate Size Distribution","tempFM","Tower Top"
"NEON.D10.STER.DP0.00017.001.01946.000.040.000",0.052,"STER","Dust and Particulate Size Distribution","flowRateVolFM","Tower Top"
"NEON.D10.STER.DP0.00017.001.01947.000.040.000",0.052,"STER","Dust and Particulate Size Distribution","flowRateMassFM","Tower Top"
"NEON.D10.STER.DP0.00017.001.01948.000.040.000",0.003,"STER","Dust and Particulate Size Distribution","presAtm","Tower Top"
"NEON.D10.STER.DP0.00017.001.01949.000.040.000",0.013,"STER","Dust and Particulate Size Distribution","temp","Tower Top"
"NEON.D10.STER.DP0.00017.001.01950.000.040.000",0.001,"STER","Dust and Particulate Size Distribution","frt","Tower Top"
"NEON.D10.STER.DP0.00017.001.01951.000.040.000",0.004,"STER","Dust and Particulate Size Distribution","frt0","Tower Top"
"NEON.D10.STER.DP0.00017.001.01952.000.040.000",0,"STER","Dust and Particulate Size Distribution","frtSet0","Tower Top"
"NEON.D10.STER.DP0.00017.001.02351.000.040.000",0,"STER","Dust and Particulate Size Distribution","pumpVoltage","Tower Top"
"NEON.D10.STER.DP0.00023.001.01314.000.040.000",0.021,"STER","Shortwave/Longwave Net Radiation","sensorResistance","Tower Top"
"NEON.D10.STER.DP0.00023.001.01314.003.000.000",0.035,"STER","Shortwave/Longwave Net Radiation","sensorResistance","Soil Plot 3"
"NEON.D10.STER.DP0.00023.001.01315.000.040.000",1.289,"STER","Shortwave/Longwave Net Radiation","inNetRadPyranometer","Tower Top"
"NEON.D10.STER.DP0.00023.001.01316.000.040.000",1.234,"STER","Shortwave/Longwave Net Radiation","outNetRadPyranometer","Tower Top"
"NEON.D10.STER.DP0.00023.001.01317.000.040.000",-0.26,"STER","Shortwave/Longwave Net Radiation","inNetRadPyrgeometer","Tower Top"
"NEON.D10.STER.DP0.00023.001.01317.003.000.000",-0.49,"STER","Shortwave/Longwave Net Radiation","inNetRadPyrgeometer","Soil Plot 3"
"NEON.D10.STER.DP0.00023.001.01318.000.040.000",2.197,"STER","Shortwave/Longwave Net Radiation","outNetRadPyrgeometer","Tower Top"
"NEON.D10.STER.DP0.00023.001.01318.003.000.000",1.005,"STER","Shortwave/Longwave Net Radiation","outNetRadPyrgeometer","Soil Plot 3"
"NEON.D10.STER.DP0.00024.001.01320.000.010.000",1.39,"STER","Photosynthetically Active Radiation","inPAR","Meas. Level 1"
"NEON.D10.STER.DP0.00024.001.01320.000.020.000",1.268,"STER","Photosynthetically Active Radiation","inPAR","Meas. Level 2"
"NEON.D10.STER.DP0.00024.001.01320.000.030.000",1.264,"STER","Photosynthetically Active Radiation","inPAR","Meas. Level 3"
"NEON.D10.STER.DP0.00024.001.01320.000.040.000",1.256,"STER","Photosynthetically Active Radiation","inPAR","Tower Top"
"NEON.D10.STER.DP0.00024.001.01321.000.040.000",1.281,"STER","Photosynthetically Active Radiation","outPAR","Tower Top"
"NEON.D10.STER.DP0.00040.001.01798.001.501.000",3.908,"STER","Soil heat flux plate","SHFVoltage","Soil Plot 1, depth 1"
"NEON.D10.STER.DP0.00040.001.01798.003.501.000",4.147,"STER","Soil heat flux plate","SHFVoltage","Soil Plot 3, depth 1"
"NEON.D10.STER.DP0.00040.001.01798.005.501.000",4.744,"STER","Soil heat flux plate","SHFVoltage","Soil Plot 5, depth 1"
"NEON.D10.STER.DP0.00040.001.01799.001.501.000",NA,"STER","Soil heat flux plate","SHFCalHeaterFlag","Soil Plot 1, depth 1"
"NEON.D10.STER.DP0.00040.001.01799.003.501.000",NA,"STER","Soil heat flux plate","SHFCalHeaterFlag","Soil Plot 3, depth 1"
